Dewas,Madhya Pradesh,1,0,0,Indore Road Dewas
Dhanbad,Jharkhand,3,0,0,Bank More
Dharmsala,Himachal Pradesh,1,0,0,Kotwali Bazaar
Dharuhera,Haryana,3,0,0,Dharuhera Industrial Area
Dibrugarh,Assam,0,2,0,AT Road
Dombivli,Maharashtra,6,6,0,Dombivli Station Road
Durg,Chhattisgarh,3,1,0,Durg Station Road
Durgapur,West Bengal,3,1,0,Benachity
Eluru,Andhra Pradesh,1,1,0,Main Road Eluru
Erode,Tamil Nadu,1,2,0,Perundurai Road
Etawah,Uttar Pradesh,1,0,0,Civil Lines Etawah
Faizabad,Uttar Pradesh,1,0,0,Naka Hindola
Faridabad,Haryana,22,6,15,NHPC Chowk
Faridkot,Punjab,1,0,0,Bus Stand Faridkot
Farrukhabad,Uttar Pradesh,1,0,0,Fatehgarh Chowk
Fatehpur,Uttar Pradesh,1,0,0,Civil Lines Fatehpur
Firozabad,Uttar Pradesh,1,0,0,Sadar Bazaar Firozabad
Firozpur,Punjab,1,0,0,Ferozepur Cantonment
Gandhidham,Gujarat,2,0,0,Sector 12 Gandhidham
Gandhinagar,Gujarat,11,4,0,Sector 11 Gandhinagar
Gandhinagar,Tamil Nadu,4,3,0,Sector 11 Gandhinagar
Gaya,Bihar,3,0,0,Station Road Gaya
Ghaziabad,Uttar Pradesh,31,15,29,GT Road Ghaziabad
Ghazipur,Uttar Pradesh,1,0,0,Ghazipur Chowk
Giridih,Jharkhand,1,0,0,Station Road Giridih
Goa Velha,Goa,1,0,0,Goa Velha Town
Gokul,Uttar Pradesh,1,0,0,Gokul Town Centre
Gonda,Uttar Pradesh,1,0,0,Station Road Gonda
Gorakhpur,Uttar Pradesh,8,3,3,Golghar
Goshainganj,Uttar Pradesh,1,1,0,Goshainganj Bazaar
Greater Noida,Uttar Pradesh,17,7,0,Alpha 1 Market
Gulbarga,Karnataka,1,0,0,Super Market Gulbarga
Guntur,Andhra Pradesh,5,6,2,Arundelpet
Gurugram,Haryana,82,32,49,MG Road
Gurugram,Maharashtra,0,1,0,MG Road
Guwahati,Assam,16,7,0,Pan Bazaar
Gwalior,Madhya Pradesh,2,3,0,Patankar Bazaar
Hajipur,Bihar,2,0,0,Hajipur Chowk
Haldwani,Uttarakhand,4,0,0,Bhotia Parao Chowk
Hamirpur,Himachal Pradesh,1,0,0,Bus Stand Hamirpur
Haora,West Bengal,5,1,0,Howrah Station
Hapur,Uttar Pradesh,1,0,1,GT Road Hapur
Hardoi,Uttar Pradesh,1,0,0,Civil Lines Hardoi
Haridwar,Uttarakhand,5,0,2,Har Ki Pauri
Harihar,Karnataka,1,1,0,Harihar Town Centre
Hassan,Karnataka,1,0,0,Bus Stand Hassan
Hazaribagh,Jharkhand,1,0,0,Station Road Hazaribagh
Hisar,Haryana,3,0,1,Hansi Road
Hoshangabad,Madhya Pradesh,1,0,0,Setkhedi Road
Hoshiarpur,Punjab,2,0,0,Civil Lines Hoshiarpur
Hospet,Karnataka,1,0,0,Station Road Hospet
Hosur,Tamil Nadu,5,1,1,Hosur Town Centre
Hubballi,Karnataka,0,0,3,Koppikar Road
Hubli,Karnataka,3,2,0,Koppikar Road
Hugli,West Bengal,1,0,0,Chuchura Town Centre
Hyderabad,Telangana,94,78,112,Abids
Indore,Madhya Pradesh,19,8,9,Rajwada
Jabalpur,Madhya Pradesh,7,3,0,Sadar
Jaipur,Rajasthan,38,16,19,Johari Bazaar
Jalalpur,Gujarat,1,0,0,Jalalpur Town Centre
Jalandhar,Punjab,9,2,6,Burlton Park
Jalgaon,Maharashtra,1,0,0,Nehru Chowk
Jammu,Kashmir,8,0,0,Raghunath Bazaar
Jamnagar,Gujarat,1,0,0,Bedi Gate
Jamshedpur,Jharkhand,8,4,0,Bistupur
Jasidih,Jharkhand,1,0,0,Jasidih Junction
Jaunpur,Uttar Pradesh,1,0,0,Olandganj
Jhansi,Uttar Pradesh,4,2,0,Sipri Bazaar
Jhusi,Uttar Pradesh,3,0,0,Jhusi Chowk
Jind,Haryana,1,0,0,Santokhpura Chowk
Jobner,Rajasthan,1,0,0,Jobner Town Centre
Jodhpur,Rajasthan,4,1,0,Sardar Market
Jugsalai,Jharkhand,1,1,0,Jugsalai Bazar
Junagadh,Gujarat,1,0,0,Dhal Chowk
Kaithal,Haryana,1,0,0,Station Road Kaithal
Kakinada,Andhra Pradesh,3,2,0,Main Road Kakinada
Kalyan,Maharashtra,6,2,0,Kalyan Station Road
Kanchipuram,Tamil Nadu,0,1,0,Gandhi Road
Kanchrapara,West Bengal,1,1,0,Kanchrapara Station Road
Kanke,Jharkhand,3,0,0,Kanke Road
Kanpur,Uttar Pradesh,10,2,10,Naveen Market
Kapurthala,Punjab,1,0,0,Phagwara Road Kapurthala
Karaikkudi,Tamil Nadu,0,1,0,Anna Salai Karaikkudi
Karamsad,Gujarat,1,1,0,Karamsad Town Centre
Karimnagar,Telangana,1,2,3,Mukarampura
Karnal,Haryana,3,1,2,Kalpana Chawla Chowk
Karur,Tamil Nadu,0,2,0,Erode Road Karur
Kashipur,Uttarakhand,1,0,0,Kashipur Bus Stand
Katihar,Bihar,1,0,0,Station Road Katihar
Katpadi,Tamil Nadu,1,1,0,Katpadi Junction
Khagaul,Bihar,3,1,0,Khagaul Chowk
Khamaria,Madhya Pradesh,1,0,0,Khamaria Town
Khammam,Telangana,1,2,0,Tank Bund Road
Khanna,Punjab,1,0,0,Grain Market Khanna
Kharagpur,West Bengal,1,0,0,Malancha
Kharar,Punjab,11,4,0,Kharar Town Centre
Khardah,West Bengal,2,0,0,Khardah Station Road
Kichha,Uttarakhand,2,1,0,Kichha Town Centre
Kochi,Kerala,9,21,10,Ernakulam Junction
Kolhapur,Maharashtra,3,2,0,Mahadwar Road
Kolkata,West Bengal,67,35,42,Esplanade
Kollam,Kerala,0,3,0,Chinnakada
Konnagar,West Bengal,1,0,0,Konnagar Station Road
Kota,Rajasthan,5,3,3,Station Road
Kotdwara,Uttarakhand,1,0,0,Kotdwara Town Centre
Kottayam,Kerala,1,3,0,KK Road
Kozhikode,Kerala,1,5,0,Palayam
Kurukshetra,Haryana,0,0,2,Brahma Sarovar
Lakhimpur,Uttar Pradesh,1,0,0,Lakhimpur Town
Latur,Maharashtra,1,1,0,Udgir Road Latur
Lonavla,Maharashtra,1,1,0,Lonavla Market
Loni,Uttar Pradesh,11,5,0,Loni Town Centre
Lucknow,Uttar Pradesh,48,16,30,Hazratganj
Ludhiana,Punjab,15,5,7,Ghanta Ghar Chowk
Madgaon,Goa,0,1,0,Madgaon Station Road
Madhyamgram,West Bengal,2,1,0,Madhyamgram Chowk
Madurai,Tamil Nadu,1,4,4,Anna Nagar
Mahesana,Gujarat,1,0,1,Station Road Mahesana
Mainpuri,Uttar Pradesh,1,0,0,Civil Lines Mainpuri
Mandideep,Madhya Pradesh,3,0,0,Mandideep Industrial Area
Mandya,Karnataka,1,0,0,KR Circle Mandya
Mangaluru,Karnataka,3,2,0,Hampankatta
Manipala,Karnataka,1,1,0,Manipal Town Centre
Mapuca,Goa,2,2,0,Mapuca Market
Mathura,Uttar Pradesh,3,1,0,Vishram Ghat
Mavoor,Kerala,0,1,0,Mavoor Road
Meerut,Uttar Pradesh,9,3,4,Ghanta Ghar
Mirzapur,Uttar Pradesh,1,0,0,Ghanta Ghar Mirzapur
Moga,Punjab,1,0,0,Moga Bus Stand
Mohali,Punjab,12,6,0,Phase 7 Mohali
Moradabad,Uttar Pradesh,4,2,0,JP Market
Morar,Madhya Pradesh,3,1,0,Morar Gwalior
Morbi,Gujarat,1,0,0,Station Road Morbi
Motihari,Bihar,1,0,0,Station Road Motihari
Mumbai,Maharashtra,71,35,119,Dadar
Muradnagar,Uttar Pradesh,1,0,0,GT Road Muradnagar
Muvattupuzha,Kerala,0,1,0,Muvattupuzha Town Centre
Muzaffarnagar,Uttar Pradesh,1,0,0,Bhopa Road
Muzaffarpur,Bihar,5,1,0,Mithanpura
Mysore,Karnataka,6,7,0,Devaraja Market
Mysuru,Karnataka,0,0,8,Devaraja Market
Nabha,Punjab,1,0,0,Nabha Town Centre
Nadiad,Gujarat,1,0,0,Nadiad Town Centre
Nagercoil,Tamil Nadu,0,1,0,CSI Compound
Nagpur,Maharashtra,18,7,10,Itwari
Naihati,West Bengal,1,0,0,Naihati Station Road
Nanded,Maharashtra,2,1,0,Shivaji Nagar Nanded
Nashik,Maharashtra,8,5,8,Mahatma Gandhi Road
Navi Mumbai,Maharashtra,17,12,0,Vashi Sector 17
Nawabganj,Uttar Pradesh,10,2,0,Nawabganj Bazaar
Nellore,Andhra Pradesh,2,2,0,Grand Trunk Road Nellore
New Delhi,Delhi,131,50,98,Connaught Place
Niwari,Uttar Pradesh,1,0,0,Niwari Town
Nizamabad,Telangana,1,1,0,Subhash Chowk
Noida,Uttar Pradesh,60,27,42,Sector 18 Market
Ongole,Andhra Pradesh,1,2,0,Kurnool Road Junction
Padra,Gujarat,1,1,0,Padra Town Centre
Palakkad,Kerala,0,2,3,Kottayi Road
Palanpur,Gujarat,1,0,0,Station Road Palanpur
Palghar,Maharashtra,1,0,0,Palghar Station Road
Palwal,Haryana,1,0,0,Palwal Chowk
Panaji,Goa,1,0,0,Panaji Market
Panchkula,Haryana,0,0,2,Sector 5 Panchkula
Panipat,Haryana,4,3,2,G T Road Panipat
Panvel,Maharashtra,4,4,0,Panvel Station Road
Pathankot,Punjab,1,0,0,Dalhousie Road
Patiala,Punjab,4,3,3,Choti Baradari
Patna,Bihar,13,6,0,Gandhi Maidan
Perumpavur,Kerala,0,1,0,Perumpavur Town Centre
Phagwara,Punjab,2,0,0,Phagwara Town Centre
Pilibhit,Uttar Pradesh,1,0,0,Civil Lines Pilibhit
Pinjaur,Haryana,2,0,0,Pinjaur Gardens
Ponda,Goa,1,0,0,Ponda Market
Prayagraj,Uttar Pradesh,8,3,6,Civil Lines
Puducherry,Puducherry,1,2,2,Jawaharlal Nehru Street
Pune,Maharashtra,87,47,54,Shivajinagar
Puri,Odisha,1,0,0,Bada Danda
Purnia,Bihar,1,0,0,Bhatta Bazar
Raebareli,Uttar Pradesh,1,0,0,Civil Lines Raebareli
Raichur,Karnataka,1,0,0,Gandhi Chowk Raichur
Raipur,Chhattisgarh,10,4,0,Shankar Nagar
Raipur,Uttarakhand,4,3,0,Shankar Nagar
Rajahmundry,Andhra Pradesh,3,2,0,Morampudi Junction
Rajkot,Gujarat,7,4,2,Kalavad Road
Rajpura,Punjab,1,0,0,Rajpura Town Centre
Ramgarh,Jharkhand,1,0,0,Ramgarh Town Centre
Ramnagar,Uttar Pradesh,3,2,0,Ramnagar Bazaar
Rampur,Uttar Pradesh,1,0,0,Shahid Chowk Rampur
Ranchi,Jharkhand,10,4,0,Albert Ekka Chowk
Ratlam,Madhya Pradesh,1,0,0,Station Road Ratlam
Rewa,Madhya Pradesh,1,0,0,Civil Lines Rewa
Rewari,Haryana,2,0,1,Delhi Road Rewari
Rishikesh,Uttarakhand,2,0,0,Triveni Ghat
Rohtak,Haryana,6,2,0,Model Town Rohtak
Roorkee,Uttarakhand,2,1,0,Civil Lines Roorkee
Sachin,Gujarat,1,0,0,Sachin GIDC
Saharanpur,Uttar Pradesh,2,1,1,Court Road
Salem,Tamil Nadu,1,2,0,Shevapet
Saligao,Goa,1,0,0,Saligao Church Road
Samastipur,Bihar,1,0,0,Samastipur Station Road
Sangli,Maharashtra,2,0,0,Rajwada Chowk
Sangrur,Punjab,1,0,0,Sangrur Bus Stand
SAS Nagar,Punjab,0,0,12,Phase 8 SAS Nagar
Satara,Maharashtra,1,0,0,Court Road Satara
Satna,Madhya Pradesh,1,0,0,Civil Lines Satna
Secunderabad,Telangana,4,4,0,Paradise Circle
Serula,Goa,1,1,0,Serula Junction
Shahjahanpur,Uttar Pradesh,1,0,0,Civil Lines Shahjahanpur
Shikohabad,Uttar Pradesh,1,0,0,Shikohabad Town Centre
Shirdi,Maharashtra,1,0,0,Sai Nagar Shirdi
Shivamogga,Karnataka,1,1,0,Vinoba Nagar
Shrirampur,West Bengal,1,0,0,Shrirampur Station Road
Shyamnagar,West Bengal,2,0,0,Shyamnagar Station Road
Sikar,Rajasthan,2,0,0,Station Road Sikar
Silchar,Assam,0,1,0,Premtala
